SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
172930006637;available_money;SETTLEMENT;3000.00;2026-08-14T15:36:33.000-04:00;0.00;2026-08-14T15:36:33.000-04:00;3000.00;0.00;;;2026-08-14T15:36:33.000-04:00
172928915711;available_money;SETTLEMENT;400.00;2026-08-14T15:32:39.000-04:00;0.00;2026-08-14T15:32:39.000-04:00;400.00;0.00;;;2026-08-14T15:32:39.000-04:00
172928411619;available_money;SETTLEMENT;300.00;2026-08-14T15:29:25.000-04:00;0.00;2026-08-14T15:29:26.000-04:00;300.00;0.00;;;2026-08-14T15:29:26.000-04:00
172928623097;available_money;SETTLEMENT;2000.00;2026-08-14T15:29:03.000-04:00;0.00;2026-08-14T15:29:04.000-04:00;2000.00;0.00;;;2026-08-14T15:29:04.000-04:00
172924724337;bank_transfer;SETTLEMENT;4400.00;2026-08-14T15:03:41.000-04:00;0.00;2026-08-14T15:03:41.000-04:00;4400.00;0.00;;;2026-08-14T15:03:41.000-04:00
172922024427;bank_transfer;SETTLEMENT;3000.00;2026-08-14T14:47:49.000-04:00;0.00;2026-08-14T14:47:49.000-04:00;3000.00;0.00;;;2026-08-14T14:47:49.000-04:00
173845575698;available_money;SETTLEMENT;8500.00;2026-08-14T14:45:00.000-04:00;0.00;2026-08-14T14:45:00.000-04:00;8500.00;0.00;;;2026-08-14T14:45:00.000-04:00
172917456619;available_money;SETTLEMENT;1000.00;2026-08-14T14:21:32.000-04:00;0.00;2026-08-14T14:21:33.000-04:00;1000.00;0.00;;;2026-08-14T14:21:32.000-04:00
173841534658;bank_transfer;SETTLEMENT;6600.00;2026-08-14T14:18:49.000-04:00;0.00;2026-08-14T14:18:50.000-04:00;6600.00;0.00;;;2026-08-14T14:18:50.000-04:00
172910079831;available_money;SETTLEMENT;3300.00;2026-08-14T13:41:29.000-04:00;0.00;2026-08-14T13:41:30.000-04:00;3300.00;0.00;;;2026-08-14T13:41:30.000-04:00
173834858458;available_money;SETTLEMENT;500.00;2026-08-14T13:39:30.000-04:00;0.00;2026-08-14T13:39:30.000-04:00;500.00;0.00;;;2026-08-14T13:39:30.000-04:00
173832957976;available_money;SETTLEMENT;1000.00;2026-08-14T13:31:36.000-04:00;0.00;2026-08-14T13:31:36.000-04:00;1000.00;0.00;;;2026-08-14T13:31:36.000-04:00
173832764258;available_money;SETTLEMENT;3000.00;2026-08-14T13:26:30.000-04:00;0.00;2026-08-14T13:26:31.000-04:00;3000.00;0.00;;;2026-08-14T13:26:30.000-04:00
173822911906;available_money;SETTLEMENT;-999539.79;2026-08-14T12:34:10.000-04:00;0.00;2026-08-14T12:35:36.000-04:00;-999539.79;0.00;;;2026-08-14T12:35:35.000-04:00
173818390682;available_money;SETTLEMENT;1700.00;2026-08-14T12:07:53.000-04:00;0.00;2026-08-14T12:07:53.000-04:00;1700.00;0.00;;;2026-08-14T12:07:53.000-04:00
172889112453;bank_transfer;SETTLEMENT;581.00;2026-08-14T11:43:02.000-04:00;0.00;2026-08-14T11:43:02.000-04:00;581.00;0.00;;;2026-08-14T11:43:02.000-04:00
173812655512;available_money;SETTLEMENT;3000.00;2026-08-14T11:40:17.000-04:00;0.00;2026-08-14T11:40:17.000-04:00;3000.00;0.00;;;2026-08-14T11:40:17.000-04:00
173812176178;available_money;SETTLEMENT;50000.00;2026-08-14T11:35:03.000-04:00;0.00;2026-08-14T11:35:04.000-04:00;50000.00;0.00;;;2026-08-14T11:35:04.000-04:00
173805035156;available_money;SETTLEMENT;3400.00;2026-08-14T11:02:03.000-04:00;0.00;2026-08-14T11:02:04.000-04:00;3400.00;0.00;;;2026-08-14T11:02:03.000-04:00
173797568370;bank_transfer;SETTLEMENT;2500.00;2026-08-14T10:20:35.000-04:00;0.00;2026-08-14T10:20:35.000-04:00;2500.00;0.00;;;2026-08-14T10:20:35.000-04:00
173796354554;available_money;SETTLEMENT;2000.00;2026-08-14T10:13:39.000-04:00;0.00;2026-08-14T10:13:39.000-04:00;2000.00;0.00;;;2026-08-14T10:13:39.000-04:00
173792831342;available_money;SETTLEMENT;8500.00;2026-08-14T09:55:05.000-04:00;0.00;2026-08-14T09:55:06.000-04:00;8500.00;0.00;;;2026-08-14T09:55:06.000-04:00
173391739722;available_money;SETTLEMENT;-421400.00;2026-08-12T11:49:35.000-04:00;0.00;2026-08-14T04:34:42.000-04:00;-421400.00;0.00;;;2026-08-14T04:34:42.000-04:00
1748368623174;;SETTLEMENT;954.45;2026-08-14T00:39:51.000-04:00;0.00;2026-08-14T00:39:51.000-04:00;954.45;0.00;;;
1748368623174;;SETTLEMENT;1.87;2026-08-14T00:39:51.000-04:00;0.00;2026-08-14T00:39:51.000-04:00;1.87;0.00;;;
173747671252;bank_transfer;SETTLEMENT;33000.00;2026-08-13T22:47:56.000-04:00;0.00;2026-08-13T22:47:56.000-04:00;33000.00;0.00;;;2026-08-13T22:47:56.000-04:00
173745841594;available_money;SETTLEMENT;-39123.01;2026-08-13T22:27:01.000-04:00;0.00;2026-08-13T22:27:03.000-04:00;-39123.01;0.00;Mercado Pago;Wallet;2026-08-15T22:27:03.000-04:00
172822667265;available_money;SETTLEMENT;-212563.31;2026-08-13T22:26:23.000-04:00;0.00;2026-08-13T22:26:25.000-04:00;-212563.31;0.00;Mercado Pago;Wallet;2026-08-15T22:26:25.000-04:00
172822423729;available_money;SETTLEMENT;-5000.00;2026-08-13T22:25:53.000-04:00;0.00;2026-08-13T22:25:54.000-04:00;-5000.00;0.00;;;2026-08-13T22:25:54.000-04:00
172821288687;available_money;SETTLEMENT;2200.00;2026-08-13T22:08:38.000-04:00;0.00;2026-08-13T22:08:38.000-04:00;2200.00;0.00;;;2026-08-13T22:08:38.000-04:00
172820400725;available_money;SETTLEMENT;18400.00;2026-08-13T22:00:26.000-04:00;0.00;2026-08-13T22:00:27.000-04:00;18400.00;0.00;;;2026-08-13T22:00:27.000-04:00
172817524649;available_money;SETTLEMENT;1200.00;2026-08-13T21:32:48.000-04:00;0.00;2026-08-13T21:32:48.000-04:00;1200.00;0.00;;;2026-08-13T21:32:48.000-04:00
173734816858;available_money;SETTLEMENT;1100.00;2026-08-13T20:49:26.000-04:00;0.00;2026-08-13T20:49:26.000-04:00;1100.00;0.00;;;2026-08-13T20:49:26.000-04:00
173732118108;available_money;SETTLEMENT;-20000.00;2026-08-13T20:30:28.000-04:00;0.00;2026-08-13T20:30:28.000-04:00;-20000.00;0.00;;;2026-08-13T20:30:28.000-04:00
173731061752;available_money;SETTLEMENT;4700.00;2026-08-13T20:27:10.000-04:00;0.00;2026-08-13T20:27:11.000-04:00;4700.00;0.00;;;2026-08-13T20:27:11.000-04:00
